"cod_ibge";"regiao";"uf";"municipio";"total_2010";"total_2011";"total_2012"
"2610905";"Nordeste";"PE";"Pesqueira";6;5;5
"2611002";"Nordeste";"PE";"Petrolândia";8;8;8
"2611101";"Nordeste";"PE";"Petrolina";230;316;318
"2611606";"Nordeste";"PE";"Recife";1111;1099;1143
"2611804";"Nordeste";"PE";"Ribeirão";1;1;1
"2611903";"Nordeste";"PE";"Rio Formoso";1;1;1
"2612208";"Nordeste";"PE";"Salgueiro";41;50;37
"2612505";"Nordeste";"PE";"Santa Cruz do Capibaribe";7;7;4
"2612604";"Nordeste";"PE";"Santa Maria da Boa Vista";1;3;5
"2613107";"Nordeste";"PE";"São Caitano";2;2;2
"2613503";"Nordeste";"PE";"São José do Belmonte";2;4;3
"2613602";"Nordeste";"PE";"São José do Egito";6;4;1
"2613701";"Nordeste";"PE";"São Lourenço da Mata";3;3;5
"2613909";"Nordeste";"PE";"Serra Talhada";35;34;36
"2614501";"Nordeste";"PE";"Surubim";4;8;1
"2615300";"Nordeste";"PE";"Timbaúba";3;4;3
"2615607";"Nordeste";"PE";"Trindade";4;5;1
"2616001";"Nordeste";"PE";"Venturosa";1;4;1
"2616209";"Nordeste";"PE";"Vertentes";5;1;1
"2616407";"Nordeste";"PE";"Vitória de Santo Antão";22;6;16
"2616506";"Nordeste";"PE";"Xexéu";1;1;1
"2700300";"Nordeste";"AL";"Arapiraca";141;119;110
"2700409";"Nordeste";"AL";"Atalaia";1;2;1
"2700706";"Nordeste";"AL";"Batalha";4;5;2
"2701605";"Nordeste";"AL";"Canapi";2;1;2
"2701704";"Nordeste";"AL";"Capela";1;1;1
"2702108";"Nordeste";"AL";"Colônia Leopoldina";2;3;3
"2702306";"Nordeste";"AL";"Coruripe";12;11;4
"2702405";"Nordeste";"AL";"Delmiro Gouveia";5;6;9
"2703304";"Nordeste";"AL";"Inhapi";2;1;1
"2703809";"Nordeste";"AL";"Joaquim Gomes";1;1;3
"2704302";"Nordeste";"AL";"Maceió";563;522;495
"2704500";"Nordeste";"AL";"Maragogi";3;3;3
"2705200";"Nordeste";"AL";"Messias";1;1;1
"2705507";"Nordeste";"AL";"Murici";3;1;2
"2705705";"Nordeste";"AL";"Olho d'Água das Flores";1;1;1
"2706307";"Nordeste";"AL";"Palmeira dos Índios";41;37;32
"2706448";"Nordeste";"AL";"Paripueira";1;1;1
"2706703";"Nordeste";"AL";"Penedo";11;10;13
"2706901";"Nordeste";"AL";"Pilar";2;2;1
"2708006";"Nordeste";"AL";"Santana do Ipanema";8;35;39
"2708600";"Nordeste";"AL";"São Miguel dos Campos";14;12;17
"2708956";"Nordeste";"AL";"Senador Rui Palmeira";2;1;2
"2709301";"Nordeste";"AL";"União dos Palmares";10;9;6
"2800308";"Nordeste";"SE";"Aracaju";471;480;484
"2801306";"Nordeste";"SE";"Capela";6;12;6
"2802106";"Nordeste";"SE";"Estância";11;16;19
"2802908";"Nordeste";"SE";"Itabaiana";26;30;26
"2803005";"Nordeste";"SE";"Itabaianinha";1;2;4
"2803401";"Nordeste";"SE";"Japoatã";1;1;1
"2803500";"Nordeste";"SE";"Lagarto";6;9;11
"2803609";"Nordeste";"SE";"Laranjeiras";3;1;1
"2804508";"Nordeste";"SE";"Nossa Senhora da Glória";12;15;6
"2804805";"Nordeste";"SE";"Nossa Senhora do Socorro";3;2;4
"2805406";"Nordeste";"SE";"Poço Redondo";1;6;2
"2805604";"Nordeste";"SE";"Porto da Folha";1;2;1
"2805703";"Nordeste";"SE";"Propriá";1;2;10
"2806701";"Nordeste";"SE";"São Cristóvão";5;1;1
"2807105";"Nordeste";"SE";"Simão Dias";1;6;3
"2900207";"Nordeste";"BA";"Abaré";1;1;2
"2900702";"Nordeste";"BA";"Alagoinhas";44;50;50
"2900801";"Nordeste";"BA";"Alcobaça";1;1;1
"2901007";"Nordeste";"BA";"Amargosa";9;4;4
"2901601";"Nordeste";"BA";"Antas";12;5;8
"2902104";"Nordeste";"BA";"Araci";5;7;8
"2902609";"Nordeste";"BA";"Baixa Grande";3;1;6
"2902708";"Nordeste";"BA";"Barra";18;29;28
"2902807";"Nordeste";"BA";"Barra da Estiva";14;11;17
"2902906";"Nordeste";"BA";"Barra do Choça";9;5;9
"2903201";"Nordeste";"BA";"Barreiras";97;105;103
"2903508";"Nordeste";"BA";"Belo Campo";2;1;2
"2903904";"Nordeste";"BA";"Bom Jesus da Lapa";22;14;16
"2903953";"Nordeste";"BA";"Bom Jesus da Serra";3;4;2
"2904100";"Nordeste";"BA";"Boquira";3;3;5
"2904605";"Nordeste";"BA";"Brumado";21;16;21
"2905008";"Nordeste";"BA";"Caculé";1;1;2
"2905107";"Nordeste";"BA";"Caém";1;1;1
"2905206";"Nordeste";"BA";"Caetité";8;11;10
"2905602";"Nordeste";"BA";"Camacan";4;8;1
"2905701";"Nordeste";"BA";"Camaçari";53;59;48
"2905909";"Nordeste";"BA";"Campo Alegre de Lourdes";3;8;1
"2906006";"Nordeste";"BA";"Campo Formoso";13;10;6
"2906501";"Nordeste";"BA";"Candeias";7;11;8
"2906709";"Nordeste";"BA";"Cândido Sales";5;3;2
"2906808";"Nordeste";"BA";"Cansanção";2;5;6
"2906907";"Nordeste";"BA";"Caravelas";1;3;2
"2907103";"Nordeste";"BA";"Carinhanha";3;5;1
"2907202";"Nordeste";"BA";"Casa Nova";1;2;6
"2907509";"Nordeste";"BA";"Catu";4;5;4
"2907608";"Nordeste";"BA";"Central";2;1;1
"2907806";"Nordeste";"BA";"Cícero Dantas";4;2;2
"2908408";"Nordeste";"BA";"Conceição do Coité";4;6;11
"2908705";"Nordeste";"BA";"Condeúba";3;2;1
"2909307";"Nordeste";"BA";"Correntina";6;10;8
"2909604";"Nordeste";"BA";"Crisópolis";2;5;2
"2909802";"Nordeste";"BA";"Cruz das Almas";14;12;13
"2910057";"Nordeste";"BA";"Dias d'Ávila";10;8;7
"2910404";"Nordeste";"BA";"Encruzilhada";4;1;3
"2910602";"Nordeste";"BA";"Esplanada";10;5;9
"2910701";"Nordeste";"BA";"Euclides da Cunha";3;10;9
"2910727";"Nordeste";"BA";"Eunápolis";31;34;41
"2910800";"Nordeste";"BA";"Feira de Santana";293;283;279
"2911105";"Nordeste";"BA";"Formosa do Rio Preto";3;2;1
"2911204";"Nordeste";"BA";"Gandu";4;6;3
"2911709";"Nordeste";"BA";"Guanambi";49;61;48
"2911808";"Nordeste";"BA";"Guaratinga";5;6;2
"2911907";"Nordeste";"BA";"Iaçu";7;3;5
"2912004";"Nordeste";"BA";"Ibiassucê";4;4;6
"2912400";"Nordeste";"BA";"Ibipeba";1;1;1
"2912707";"Nordeste";"BA";"Ibirapitanga";1;2;2
"2912905";"Nordeste";"BA";"Ibirataia";6;1;1
"2913002";"Nordeste";"BA";"Ibitiara";2;5;2
"2913200";"Nordeste";"BA";"Ibotirama";17;10;13
"2913408";"Nordeste";"BA";"Igaporã";2;1;2
"2913507";"Nordeste";"BA";"Iguaí";6;2;7
"2913606";"Nordeste";"BA";"Ilhéus";65;59;42
"2913705";"Nordeste";"BA";"Inhambupe";4;4;2
"2913903";"Nordeste";"BA";"Ipiaú";6;9;10
"2914000";"Nordeste";"BA";"Ipirá";6;11;14
"2914109";"Nordeste";"BA";"Ipupiara";1;1;2
"2914406";"Nordeste";"BA";"Iraquara";12;5;11
"2914604";"Nordeste";"BA";"Irecê";105;92;85
"2914653";"Nordeste";"BA";"Itabela";3;2;5
"2914703";"Nordeste";"BA";"Itaberaba";19;8;11
"2914802";"Nordeste";"BA";"Itabuna";276;254;247
"2915502";"Nordeste";"BA";"Itajuípe";2;3;3
"2915601";"Nordeste";"BA";"Itamaraju";15;15;20
"2915700";"Nordeste";"BA";"Itamari";1;1;2
"2915809";"Nordeste";"BA";"Itambé";11;9;4
"2916005";"Nordeste";"BA";"Itanhém";1;2;1
"2916104";"Nordeste";"BA";"Itaparica";13;6;17
"2916401";"Nordeste";"BA";"Itapetinga";19;25;21
"2916500";"Nordeste";"BA";"Itapicuru";3;2;1
"2916906";"Nordeste";"BA";"Itiruçu";1;1;1
"2917003";"Nordeste";"BA";"Itiúba";1;5;1
"2917102";"Nordeste";"BA";"Itororó";3;4;2
"2917300";"Nordeste";"BA";"Ituberá";6;3;3
"2917359";"Nordeste";"BA";"Jaborandi";2;1;1
"2917508";"Nordeste";"BA";"Jacobina";47;17;27
"2917607";"Nordeste";"BA";"Jaguaquara";14;9;8
"2918001";"Nordeste";"BA";"Jequié";64;73;60
"2918407";"Nordeste";"BA";"Juazeiro";58;17;22
"2918803";"Nordeste";"BA";"Laje";1;1;1
"2919207";"Nordeste";"BA";"Lauro de Freitas";29;36;22
"2919504";"Nordeste";"BA";"Livramento de Nossa Senhora";10;8;12
"2919553";"Nordeste";"BA";"Luís Eduardo Magalhães";7;4;20
"2919702";"Nordeste";"BA";"Macarani";6;4;4
"2919801";"Nordeste";"BA";"Macaúbas";11;4;7
"2919926";"Nordeste";"BA";"Madre de Deus";5;2;7
"2920205";"Nordeste";"BA";"Malhada";1;4;2
"2920502";"Nordeste";"BA";"Maracás";3;3;4
"2920809";"Nordeste";"BA";"Marcionílio Souza";2;1;1
"2921005";"Nordeste";"BA";"Mata de São João";11;5;8
"2921203";"Nordeste";"BA";"Miguel Calmon";4;2;6
"2921500";"Nordeste";"BA";"Monte Santo";11;6;9
"2921708";"Nordeste";"BA";"Morro do Chapéu";8;9;5
"2921906";"Nordeste";"BA";"Mucugê";6;1;3
"2922003";"Nordeste";"BA";"Mucuri";5;3;8
"2922102";"Nordeste";"BA";"Mundo Novo";1;1;1
"2922409";"Nordeste";"BA";"Mutuípe";1;1;3
"2922508";"Nordeste";"BA";"Nazaré";5;2;2
"2922904";"Nordeste";"BA";"Nova Soure";1;1;3
"2923001";"Nordeste";"BA";"Nova Viçosa";6;5;8
"2923100";"Nordeste";"BA";"Olindina";1;5;1
"2923407";"Nordeste";"BA";"Palmas de Monte Alto";5;3;2
"2923605";"Nordeste";"BA";"Paramirim";11;25;10
"2923704";"Nordeste";"BA";"Paratinga";6;4;2
"2924009";"Nordeste";"BA";"Paulo Afonso";74;49;48
"2924306";"Nordeste";"BA";"Piatã";5;4;1
"2924801";"Nordeste";"BA";"Piritiba";2;2;2
"2925006";"Nordeste";"BA";"Planalto";1;5;7
"2925105";"Nordeste";"BA";"Poções";2;7;5
"2925204";"Nordeste";"BA";"Pojuca";13;6;7
"2925303";"Nordeste";"BA";"Porto Seguro";52;48;49
"2925758";"Nordeste";"BA";"Presidente Tancredo Neves";1;3;2
"2925907";"Nordeste";"BA";"Quijingue";1;1;3
"2925956";"Nordeste";"BA";"Rafael Jambeiro";2;2;1
"2926004";"Nordeste";"BA";"Remanso";14;6;16
"2926202";"Nordeste";"BA";"Riachão das Neves";1;3;1
"2926301";"Nordeste";"BA";"Riachão do Jacuípe";8;4;6
"2926400";"Nordeste";"BA";"Riacho de Santana";1;6;4
"2926608";"Nordeste";"BA";"Ribeira do Pombal";22;13;29
"2927002";"Nordeste";"BA";"Rio Real";5;4;2
"2927200";"Nordeste";"BA";"Ruy Barbosa";12;6;6
"2927309";"Nordeste";"BA";"Salinas da Margarida";2;1;1
"2927408";"Nordeste";"BA";"Salvador";1030;961;967
"2927507";"Nordeste";"BA";"Santa Bárbara";3;1;1
"2928000";"Nordeste";"BA";"Santaluz";5;5;2
"2928059";"Nordeste";"BA";"Santa Luzia";2;1;1
"2928109";"Nordeste";"BA";"Santa Maria da Vitória";3;4;9
"2928208";"Nordeste";"BA";"Santana";3;1;3
"2928406";"Nordeste";"BA";"Santa Rita de Cássia";2;3;4
"2928604";"Nordeste";"BA";"Santo Amaro";7;4;4
"2928703";"Nordeste";"BA";"Santo Antônio de Jesus";44;29;27
"2928802";"Nordeste";"BA";"Santo Estêvão";1;1;3
"2928901";"Nordeste";"BA";"São Desidério";4;1;1
"2929008";"Nordeste";"BA";"São Félix";8;7;5
"2929057";"Nordeste";"BA";"São Félix do Coribe";1;5;5
"2929206";"Nordeste";"BA";"São Francisco do Conde";8;9;1
"2929305";"Nordeste";"BA";"São Gonçalo dos Campos";2;2;1
"2929404";"Nordeste";"BA";"São Miguel das Matas";1;2;2
"2929602";"Nordeste";"BA";"Sapeaçu";4;2;2
"2929701";"Nordeste";"BA";"Sátiro Dias";3;3;1
"2929909";"Nordeste";"BA";"Seabra";9;10;14
"2930105";"Nordeste";"BA";"Senhor do Bonfim";29;22;12
"2930154";"Nordeste";"BA";"Serra do Ramalho";1;4;5
"2930204";"Nordeste";"BA";"Sento Sé";2;3;3
"2930402";"Nordeste";"BA";"Serra Preta";1;1;4
"2930501";"Nordeste";"BA";"Serrinha";12;11;8
"2930600";"Nordeste";"BA";"Serrolândia";1;2;1
"2930709";"Nordeste";"BA";"Simões Filho";12;7;14
"2930808";"Nordeste";"BA";"Souto Soares";4;1;1
"2931053";"Nordeste";"BA";"Tanque Novo";1;2;1
"2931301";"Nordeste";"BA";"Tapiramutá";2;2;1
"2931350";"Nordeste";"BA";"Teixeira de Freitas";63;75;58
"2931905";"Nordeste";"BA";"Tucano";4;1;11
"2932101";"Nordeste";"BA";"Ubaíra";4;2;2
"2932507";"Nordeste";"BA";"Una";2;2;3
"2932804";"Nordeste";"BA";"Utinga";1;2;2
"2932903";"Nordeste";"BA";"Valença";46;36;50
"2933000";"Nordeste";"BA";"Valente";1;1;2
"2933307";"Nordeste";"BA";"Vitória da Conquista";197;198;166
"2933604";"Nordeste";"BA";"Xique-Xique";4;3;1
"3100203";"Sudeste";"MG";"Abaeté";3;4;3
"3100906";"Sudeste";"MG";"Águas Formosas";4;4;9
"3101102";"Sudeste";"MG";"Aimorés";5;5;1
"3101201";"Sudeste";"MG";"Aiuruoca";4;3;1
"3101508";"Sudeste";"MG";"Além Paraíba";12;5;15
"3101607";"Sudeste";"MG";"Alfenas";31;31;40
"3101706";"Sudeste";"MG";"Almenara";14;14;9
"3102308";"Sudeste";"MG";"Alvinópolis";1;1;1
"3102605";"Sudeste";"MG";"Andradas";1;1;2
"3103405";"Sudeste";"MG";"Araçuaí";5;12;11
"3103504";"Sudeste";"MG";"Araguari";22;21;20
"3104007";"Sudeste";"MG";"Araxá";4;7;7
"3104205";"Sudeste";"MG";"Arcos";2;2;3
"3105103";"Sudeste";"MG";"Bambuí";4;3;3
"3105608";"Sudeste";"MG";"Barbacena";66;79;53
"3106200";"Sudeste";"MG";"Belo Horizonte";712;699;744
"3106705";"Sudeste";"MG";"Betim";66;66;71
"3107109";"Sudeste";"MG";"Boa Esperança";5;3;3
"3107307";"Sudeste";"MG";"Bocaiúva";8;6;10
"3107406";"Sudeste";"MG";"Bom Despacho";6;10;5
"3108602";"Sudeste";"MG";"Brasília de Minas";10;16;13
"3109303";"Sudeste";"MG";"Buritis";3;1;3
"3109402";"Sudeste";"MG";"Buritizeiro";7;1;4
"3110004";"Sudeste";"MG";"Caeté";3;2;2
"3110509";"Sudeste";"MG";"Camanducaia";2;3;2
"3110608";"Sudeste";"MG";"Cambuí";2;1;1
"3111002";"Sudeste";"MG";"Campestre";3;3;3
"3111200";"Sudeste";"MG";"Campo Belo";6;7;2
"3111507";"Sudeste";"MG";"Campos Altos";3;1;1
"3112307";"Sudeste";"MG";"Capelinha";11;10;4
"3113008";"Sudeste";"MG";"Caraí";3;2;2
"3113206";"Sudeste";"MG";"Carandaí";2;1;2
"3113305";"Sudeste";"MG";"Carangola";16;32;25
"3113404";"Sudeste";"MG";"Caratinga";36;38;35
"3113701";"Sudeste";"MG";"Carlos Chagas";3;2;2
"3115300";"Sudeste";"MG";"Cataguases";3;16;13
"3116605";"Sudeste";"MG";"Cláudio";3;3;3
"3116803";"Sudeste";"MG";"Coluna";2;3;3
"3118007";"Sudeste";"MG";"Congonhas";1;2;3
"3118304";"Sudeste";"MG";"Conselheiro Lafaiete";14;13;17
"3118403";"Sudeste";"MG";"Conselheiro Pena";1;1;1
"3118601";"Sudeste";"MG";"Contagem";45;50;42
"3118809";"Sudeste";"MG";"Coração de Jesus";3;3;1
"3119302";"Sudeste";"MG";"Coromandel";1;2;2
"3119401";"Sudeste";"MG";"Coronel Fabriciano";5;3;5
"3120904";"Sudeste";"MG";"Curvelo";20;17;17
"3121605";"Sudeste";"MG";"Diamantina";14;15;35
"3122009";"Sudeste";"MG";"Divino";3;3;4
"3122306";"Sudeste";"MG";"Divinópolis";41;55;51
"3123205";"Sudeste";"MG";"Dores do Indaiá";4;2;2
"3124203";"Sudeste";"MG";"Espera Feliz";2;1;4
"3124302";"Sudeste";"MG";"Espinosa";3;4;1
"3125101";"Sudeste";"MG";"Extrema";3;3;3
"3125606";"Sudeste";"MG";"Felisburgo";2;5;5
"3126109";"Sudeste";"MG";"Formiga";2;3;5
"3126703";"Sudeste";"MG";"Francisco Sá";1;4;3
"3127107";"Sudeste";"MG";"Frutal";4;2;3
"3127701";"Sudeste";"MG";"Governador Valadares";77;66;79
"3127800";"Sudeste";"MG";"Grão Mogol";1;3;5
"3128006";"Sudeste";"MG";"Guanhães";10;11;16
"3128303";"Sudeste";"MG";"Guaranésia";3;1;1
"3128709";"Sudeste";"MG";"Guaxupé";2;5;5
"3129509";"Sudeste";"MG";"Ibiá";2;4;3
"3129806";"Sudeste";"MG";"Ibirité";14;17;5
"3131208";"Sudeste";"MG";"Ipanema";5;3;4
"3131307";"Sudeste";"MG";"Ipatinga";88;94;70
"3131703";"Sudeste";"MG";"Itabira";21;20;14
"3131901";"Sudeste";"MG";"Itabirito";8;6;7
"3132107";"Sudeste";"MG";"Itacarambi";3;2;2
"3132206";"Sudeste";"MG";"Itaguara";2;1;1
"3132404";"Sudeste";"MG";"Itajubá";25;24;23
"3132503";"Sudeste";"MG";"Itamarandiba";4;11;5
"3132701";"Sudeste";"MG";"Itambacuri";6;4;3
"3133105";"Sudeste";"MG";"Itanhandu";1;2;1
"3133303";"Sudeste";"MG";"Itaobim";5;5;3
"3133808";"Sudeste";"MG";"Itaúna";13;7;4
"3134202";"Sudeste";"MG";"Ituiutaba";6;2;10
"3134707";"Sudeste";"MG";"Jacinto";3;2;1
"3135100";"Sudeste";"MG";"Janaúba";28;23;34
"3135209";"Sudeste";"MG";"Januária";15;8;11
"3136207";"Sudeste";"MG";"João Monlevade";15;11;15
"3136306";"Sudeste";"MG";"João Pinheiro";4;4;1
"3136652";"Sudeste";"MG";"Juatuba";1;1;1
"3136702";"Sudeste";"MG";"Juiz de Fora";157;137;151
"3137205";"Sudeste";"MG";"Lagoa da Prata";5;7;6
"3137601";"Sudeste";"MG";"Lagoa Santa";2;3;2
"3138203";"Sudeste";"MG";"Lavras";17;34;44
"3138401";"Sudeste";"MG";"Leopoldina";7;7;9
"3138807";"Sudeste";"MG";"Luz";6;1;3
"3138906";"Sudeste";"MG";"Machacalis";7;3;1
"3139003";"Sudeste";"MG";"Machado";6;6;4
"3139201";"Sudeste";"MG";"Malacacheta";5;3;6
"3139300";"Sudeste";"MG";"Manga";6;6;8
"3139409";"Sudeste";"MG";"Manhuaçu";23;28;29
"3139508";"Sudeste";"MG";"Manhumirim";5;6;1
"3139607";"Sudeste";"MG";"Mantena";5;4;7
"3140001";"Sudeste";"MG";"Mariana";7;9;3
"3141108";"Sudeste";"MG";"Matozinhos";1;2;1
"3141801";"Sudeste";"MG";"Minas Novas";8;17;7
"3142700";"Sudeste";"MG";"Montalvânia";5;4;2
"3142908";"Sudeste";"MG";"Monte Azul";4;6;1
"3143104";"Sudeste";"MG";"Monte Carmelo";5;4;4
"3143302";"Sudeste";"MG";"Montes Claros";125;154;124
"3143906";"Sudeste";"MG";"Muriaé";22;21;22
"3144003";"Sudeste";"MG";"Mutum";2;2;3
"3144300";"Sudeste";"MG";"Nanuque";4;6;2
"3144805";"Sudeste";"MG";"Nova Lima";90;74;87
"3145208";"Sudeste";"MG";"Nova Serrana";13;19;8
"3145307";"Sudeste";"MG";"Novo Cruzeiro";5;8;7
"3145604";"Sudeste";"MG";"Oliveira";4;1;1
"3145901";"Sudeste";"MG";"Ouro Branco";2;1;3
"3146008";"Sudeste";"MG";"Ouro Fino";1;5;3
"3146107";"Sudeste";"MG";"Ouro Preto";5;7;2
"3146305";"Sudeste";"MG";"Padre Paraíso";2;3;4
"3147006";"Sudeste";"MG";"Paracatu";6;3;2
"3147105";"Sudeste";"MG";"Pará de Minas";7;8;10
"3147204";"Sudeste";"MG";"Paraguaçu";1;3;1
"3147907";"Sudeste";"MG";"Passos";32;33;36
"3148004";"Sudeste";"MG";"Patos de Minas";59;51;66
"3148103";"Sudeste";"MG";"Patrocínio";3;2;5
"3148608";"Sudeste";"MG";"Peçanha";5;2;1
"3148707";"Sudeste";"MG";"Pedra Azul";10;8;16
"3149309";"Sudeste";"MG";"Pedro Leopoldo";7;1;8
"3151107";"Sudeste";"MG";"Pirapetinga";1;3;1
"3151206";"Sudeste";"MG";"Pirapora";16;19;18
"3151404";"Sudeste";"MG";"Pitangui";6;4;3
"3151503";"Sudeste";"MG";"Piumhi";3;8;2
"3151800";"Sudeste";"MG";"Poços de Caldas";26;17;16
"3151909";"Sudeste";"MG";"Pocrane";1;2;1
"3152006";"Sudeste";"MG";"Pompéu";1;1;4
"3152105";"Sudeste";"MG";"Ponte Nova";9;11;19
"3152204";"Sudeste";"MG";"Porteirinha";4;3;3
"3152501";"Sudeste";"MG";"Pouso Alegre";55;54;55
"3154309";"Sudeste";"MG";"Resplendor";2;5;4
"3154606";"Sudeste";"MG";"Ribeirão das Neves";16;16;10
"3154903";"Sudeste";"MG";"Rio Casca";3;5;1
"3155603";"Sudeste";"MG";"Rio Pardo de Minas";3;6;2
"3156601";"Sudeste";"MG";"Rubim";3;4;3
"3156700";"Sudeste";"MG";"Sabará";4;4;2
"3157005";"Sudeste";"MG";"Salinas";11;14;8
"3157203";"Sudeste";"MG";"Santa Bárbara";2;4;2
"3157807";"Sudeste";"MG";"Santa Luzia";7;1;5
"3157906";"Sudeste";"MG";"Santa Margarida";1;2;1
"3158201";"Sudeste";"MG";"Santa Maria do Suaçuí";1;4;4
"3159803";"Sudeste";"MG";"Santa Vitória";1;2;1
"3160702";"Sudeste";"MG";"Santos Dumont";8;2;5
"3161007";"Sudeste";"MG";"São Domingos do Prata";1;2;1
"3161106";"Sudeste";"MG";"São Francisco";12;11;13
"3162104";"Sudeste";"MG";"São Gotardo";1;1;3
"3162401";"Sudeste";"MG";"São João da Ponte";2;2;4
"3162450";"Sudeste";"MG";"São João das Missões";1;1;1
"3162500";"Sudeste";"MG";"São João del Rei";30;15;16
"3162708";"Sudeste";"MG";"São João do Paraíso";1;2;4
"3162807";"Sudeste";"MG";"São João Evangelista";2;6;6
"3162906";"Sudeste";"MG";"São João Nepomuceno";8;4;4
"3163706";"Sudeste";"MG";"São Lourenço";12;14;25
"3164704";"Sudeste";"MG";"São Sebastião do Paraíso";27;28;28
"3165305";"Sudeste";"MG";"São Vicente de Minas";1;1;2
"3167103";"Sudeste";"MG";"Serro";2;3;4
"3167202";"Sudeste";"MG";"Sete Lagoas";52;53;72
"3168002";"Sudeste";"MG";"Taiobeiras";9;10;6
"3168606";"Sudeste";"MG";"Teófilo Otoni";107;114;100
"3168705";"Sudeste";"MG";"Timóteo";7;12;10
"3169307";"Sudeste";"MG";"Três Corações";18;23;21
"3169356";"Sudeste";"MG";"Três Marias";3;2;1
"3169406";"Sudeste";"MG";"Três Pontas";6;6;3
"3169703";"Sudeste";"MG";"Turmalina";10;6;2
"3169901";"Sudeste";"MG";"Ubá";41;24;34
"3170107";"Sudeste";"MG";"Uberaba";66;101;71
"3170206";"Sudeste";"MG";"Uberlândia";129;126;117
"3170404";"Sudeste";"MG";"Unaí";6;6;12
"3170701";"Sudeste";"MG";"Varginha";11;17;11
"3170800";"Sudeste";"MG";"Várzea da Palma";8;5;2
"3171204";"Sudeste";"MG";"Vespasiano";3;1;2
"3171303";"Sudeste";"MG";"Viçosa";32;35;15
"3171808";"Sudeste";"MG";"Virginópolis";6;2;3
"3172004";"Sudeste";"MG";"Visconde do Rio Branco";5;4;4
"3200102";"Sudeste";"ES";"Afonso Cláudio";3;1;5
"3200201";"Sudeste";"ES";"Alegre";2;4;1
"3200409";"Sudeste";"ES";"Anchieta";3;2;1
"3200805";"Sudeste";"ES";"Baixo Guandu";5;2;1
"3200904";"Sudeste";"ES";"Barra de São Francisco";10;8;10
"3201209";"Sudeste";"ES";"Cachoeiro de Itapemirim";90;98;84
"3201308";"Sudeste";"ES";"Cariacica";18;19;22
"3201506";"Sudeste";"ES";"Colatina";27;50;49
"3202108";"Sudeste";"ES";"Ecoporanga";1;1;3
"3202306";"Sudeste";"ES";"Guaçuí";3;3;3
"3202405";"Sudeste";"ES";"Guarapari";3;5;3
"3203007";"Sudeste";"ES";"Iúna";2;3;3
"3203056";"Sudeste";"ES";"Jaguaré";1;4;3
"3203205";"Sudeste";"ES";"Linhares";28;22;23
"3203403";"Sudeste";"ES";"Mimoso do Sul";1;2;1
"3203502";"Sudeste";"ES";"Montanha";1;3;2
"3204054";"Sudeste";"ES";"Pedro Canário";1;3;3
"3204104";"Sudeste";"ES";"Pinheiros";4;1;1
"3204559";"Sudeste";"ES";"Santa Maria de Jetibá";3;4;2
"3204609";"Sudeste";"ES";"Santa Teresa";1;2;1
"3204906";"Sudeste";"ES";"São Mateus";26;20;16
"3205002";"Sudeste";"ES";"Serra";87;83;81
"3205069";"Sudeste";"ES";"Venda Nova do Imigrante";3;6;3
"3205200";"Sudeste";"ES";"Vila Velha";75;94;110
"3205309";"Sudeste";"ES";"Vitória";180;156;161
"3300100";"Sudeste";"RJ";"Angra dos Reis";11;15;16
"3300209";"Sudeste";"RJ";"Araruama";27;30;36
"3300308";"Sudeste";"RJ";"Barra do Piraí";15;11;12
"3300407";"Sudeste";"RJ";"Barra Mansa";25;54;41
"3300456";"Sudeste";"RJ";"Belford Roxo";36;37;22
"3300506";"Sudeste";"RJ";"Bom Jardim";3;3;2
"3300605";"Sudeste";"RJ";"Bom Jesus do Itabapoana";4;4;3
"3300704";"Sudeste";"RJ";"Cabo Frio";33;30;40
"3300803";"Sudeste";"RJ";"Cachoeiras de Macacu";6;9;10
"3300902";"Sudeste";"RJ";"Cambuci";1;2;1
"3301009";"Sudeste";"RJ";"Campos dos Goytacazes";131;125;125
"3301207";"Sudeste";"RJ";"Carmo";2;5;3
"3301504";"Sudeste";"RJ";"Cordeiro";1;1;3
"3301603";"Sudeste";"RJ";"Duas Barras";1;1;1
"3301702";"Sudeste";"RJ";"Duque de Caxias";240;308;264
"3301850";"Sudeste";"RJ";"Guapimirim";2;3;1
"3301900";"Sudeste";"RJ";"Itaboraí";19;13;20
"3302007";"Sudeste";"RJ";"Itaguaí";15;7;4
"3302205";"Sudeste";"RJ";"Itaperuna";22;19;22
"3302270";"Sudeste";"RJ";"Japeri";6;2;5
"3302403";"Sudeste";"RJ";"Macaé";50;46;52
"3302502";"Sudeste";"RJ";"Magé";12;20;26
"3302601";"Sudeste";"RJ";"Mangaratiba";4;4;1
"3302700";"Sudeste";"RJ";"Maricá";14;4;9
"3302858";"Sudeste";"RJ";"Mesquita";5;5;11
"3302908";"Sudeste";"RJ";"Miguel Pereira";9;5;6
"3303005";"Sudeste";"RJ";"Miracema";6;6;2
"3303104";"Sudeste";"RJ";"Natividade";2;2;1
"3303203";"Sudeste";"RJ";"Nilópolis";51;43;47
"3303302";"Sudeste";"RJ";"Niterói";138;131;160
"3303401";"Sudeste";"RJ";"Nova Friburgo";33;38;30
"3303500";"Sudeste";"RJ";"Nova Iguaçu";176;179;169
"3303609";"Sudeste";"RJ";"Paracambi";9;6;8
"3303708";"Sudeste";"RJ";"Paraíba do Sul";4;2;5
"3303807";"Sudeste";"RJ";"Paraty";8;2;2
