"codigo";"municipio";"total";"ano"
"110001";"Alta Floresta D'Oeste";3;"2011"
"110002";"Ariquemes";15;"2011"
"110004";"Cacoal";14;"2011"
"110005";"Cerejeiras";2;"2011"
"110007";"Corumbiara";1;"2011"
"110008";"Costa Marques";1;"2011"
"110009";"Espigão D'Oeste";6;"2011"
"110010";"Guajará-Mirim";5;"2011"
"110011";"Jaru";2;"2011"
"110012";"Ji-Paraná";10;"2011"
"110013";"Machadinho D'Oeste";1;"2011"
"110014";"Nova Brasilândia D'Oeste";1;"2011"
"110015";"Ouro Preto do Oeste";6;"2011"
"110018";"Pimenta Bueno";6;"2011"
"110020";"Porto Velho";254;"2011"
"110025";"Presidente Médici";1;"2011"
"110028";"Rolim de Moura";4;"2011"
"110029";"Santa Luzia D'Oeste";1;"2011"
"110030";"Vilhena";21;"2011"
"110032";"São Miguel do Guaporé";1;"2011"
"110034";"Alvorada D'Oeste";1;"2011"
"110037";"Alto Alegre dos Parecis";1;"2011"
"110045";"Buritis";3;"2011"
"110080";"Candeias do Jamari";2;"2011"
"110094";"Cujubim";1;"2011"
"110150";"Seringueiras";2;"2011"
"120001";"Acrelândia";1;"2011"
"120005";"Assis Brasil";1;"2011"
"120010";"Brasiléia";7;"2011"
"120020";"Cruzeiro do Sul";39;"2011"
"120030";"Feijó";12;"2011"
"120032";"Jordão";16;"2011"
"120033";"Mâncio Lima";1;"2011"
"120034";"Manoel Urbano";1;"2011"
"120038";"Plácido de Castro";2;"2011"
"120040";"Rio Branco";155;"2011"
"120043";"Santa Rosa do Purus";4;"2011"
"120050";"Sena Madureira";12;"2011"
"120060";"Tarauacá";21;"2011"
"120070";"Xapuri";2;"2011"
"130002";"Alvarães";3;"2011"
"130006";"Amaturá";10;"2011"
"130008";"Anamã";1;"2011"
"130010";"Anori";3;"2011"
"130014";"Apuí";2;"2011"
"130020";"Atalaia do Norte";3;"2011"
"130030";"Autazes";3;"2011"
"130040";"Barcelos";2;"2011"
"130050";"Barreirinha";5;"2011"
"130060";"Benjamin Constant";7;"2011"
"130063";"Beruri";4;"2011"
"130068";"Boa Vista do Ramos";2;"2011"
"130070";"Boca do Acre";1;"2011"
"130080";"Borba";5;"2011"
"130090";"Canutama";3;"2011"
"130100";"Carauari";12;"2011"
"130110";"Careiro";1;"2011"
"130115";"Careiro da Várzea";2;"2011"
"130120";"Coari";29;"2011"
"130130";"Codajás";6;"2011"
"130140";"Eirunepé";28;"2011"
"130150";"Envira";13;"2011"
"130160";"Fonte Boa";11;"2011"
"130165";"Guajará";2;"2011"
"130170";"Humaitá";6;"2011"
"130180";"Ipixuna";5;"2011"
"130185";"Iranduba";4;"2011"
"130190";"Itacoatiara";27;"2011"
"130195";"Itamarati";3;"2011"
"130200";"Itapiranga";2;"2011"
"130220";"Juruá";2;"2011"
"130230";"Jutaí";1;"2011"
"130240";"Lábrea";16;"2011"
"130250";"Manacapuru";19;"2011"
"130260";"Manaus";667;"2011"
"130270";"Manicoré";8;"2011"
"130280";"Maraã";3;"2011"
"130290";"Maués";11;"2011"
"130300";"Nhamundá";4;"2011"
"130310";"Nova Olinda do Norte";9;"2011"
"130320";"Novo Airão";4;"2011"
"130330";"Novo Aripuanã";1;"2011"
"130340";"Parintins";43;"2011"
"130350";"Pauini";3;"2011"
"130353";"Presidente Figueiredo";2;"2011"
"130356";"Rio Preto da Eva";1;"2011"
"130360";"Santa Isabel do Rio Negro";7;"2011"
"130370";"Santo Antônio do Içá";4;"2011"
"130380";"São Gabriel da Cachoeira";33;"2011"
"130390";"São Paulo de Olivença";22;"2011"
"130395";"São Sebastião do Uatumã";4;"2011"
"130400";"Silves";1;"2011"
"130406";"Tabatinga";36;"2011"
"130410";"Tapauá";4;"2011"
"130420";"Tefé";32;"2011"
"130426";"Uarini";5;"2011"
"130430";"Urucará";1;"2011"
"130440";"Urucurituba";1;"2011"
"140005";"Alto Alegre";3;"2011"
"140010";"Boa Vista";106;"2011"
"140015";"Bonfim";1;"2011"
"140017";"Cantá";1;"2011"
