"codigo";"municipio";"total";"ano"
"110001";"Alta Floresta D'Oeste";1;"2012"
"110002";"Ariquemes";14;"2012"
"110004";"Cacoal";12;"2012"
"110005";"Cerejeiras";3;"2012"
"110006";"Colorado do Oeste";2;"2012"
"110008";"Costa Marques";2;"2012"
"110009";"Espigão D'Oeste";1;"2012"
"110010";"Guajará-Mirim";3;"2012"
"110011";"Jaru";6;"2012"
"110012";"Ji-Paraná";10;"2012"
"110015";"Ouro Preto do Oeste";3;"2012"
"110018";"Pimenta Bueno";3;"2012"
"110020";"Porto Velho";270;"2012"
"110025";"Presidente Médici";1;"2012"
"110028";"Rolim de Moura";3;"2012"
"110030";"Vilhena";26;"2012"
"110032";"São Miguel do Guaporé";2;"2012"
"110045";"Buritis";2;"2012"
"110070";"Campo Novo de Rondônia";1;"2012"
"110080";"Candeias do Jamari";1;"2012"
"110094";"Cujubim";1;"2012"
"110100";"Governador Jorge Teixeira";1;"2012"
"110110";"Itapuã do Oeste";2;"2012"
"110120";"Ministro Andreazza";1;"2012"
"110130";"Mirante da Serra";1;"2012"
"120001";"Acrelândia";2;"2012"
"120005";"Assis Brasil";1;"2012"
"120010";"Brasiléia";7;"2012"
"120017";"Capixaba";1;"2012"
"120020";"Cruzeiro do Sul";37;"2012"
"120025";"Epitaciolândia";1;"2012"
"120030";"Feijó";11;"2012"
"120032";"Jordão";9;"2012"
"120033";"Mâncio Lima";1;"2012"
"120034";"Manoel Urbano";4;"2012"
"120035";"Marechal Thaumaturgo";3;"2012"
"120039";"Porto Walter";3;"2012"
"120040";"Rio Branco";169;"2012"
"120042";"Rodrigues Alves";2;"2012"
"120043";"Santa Rosa do Purus";5;"2012"
"120050";"Sena Madureira";9;"2012"
"120060";"Tarauacá";23;"2012"
"120070";"Xapuri";1;"2012"
"130002";"Alvarães";4;"2012"
"130006";"Amaturá";5;"2012"
"130008";"Anamã";1;"2012"
"130010";"Anori";3;"2012"
"130014";"Apuí";5;"2012"
"130020";"Atalaia do Norte";6;"2012"
"130030";"Autazes";5;"2012"
"130040";"Barcelos";16;"2012"
